sqlite-jdbc-3.19.3.jar,org.sqlite.JDBC,sqlite,non
mysql-connector-java-5.1.42-bin.jar,com.mysql.jdbc.Driver,mysql,3306
postgresql-42.1.1.jar,org.postgresql.Driver,postgresql,5432
